job_id,user,user_role,job_name,partition,submit_time,start_time,end_time,wait_minutes,run_minutes,gpu_count,avg_gpu_util,exit_code,date
10000,undergrad_oh,Undergrad,cv_training,gpu-v100,2024-01-01 03:00:00,2024-01-01 05:41:00,2024-01-01 10:46:00,161,305,1,95.6,0,2024-01-01
10001,phd_park,PhD,interactive,gpu-a100,2024-01-01 21:00:00,2024-01-01 21:10:00,2024-01-02 03:13:00,10,363,1,19.9,1,2024-01-01
10002,undergrad_lim,Undergrad,nlp_finetuning,gpu-rtx,2024-01-01 21:00:00,2024-01-02 00:51:00,2024-01-02 08:17:00,231,446,1,62.1,0,2024-01-01
10003,undergrad_lim,Undergrad,llm_training,gpu-a100,2024-01-01 19:00:00,2024-01-01 19:15:00,2024-01-02 03:05:00,15,470,1,93.9,0,2024-01-01
10004,prof_kim,PI,cv_training,gpu-rtx,2024-01-01 16:00:00,2024-01-01 17:00:00,2024-01-01 18:31:00,60,91,1,78.9,0,2024-01-01
10005,phd_park,PhD,hyperparameter,gpu-v100,2024-01-01 23:00:00,2024-01-02 01:23:00,2024-01-02 08:53:00,143,450,1,36.5,0,2024-01-01
10006,phd_park,PhD,cv_training,gpu-a100,2024-01-01 12:00:00,2024-01-01 12:46:00,2024-01-01 14:33:00,46,107,4,58.0,1,2024-01-01
10007,undergrad_lim,Undergrad,cv_training,gpu-a100,2024-01-01 06:00:00,2024-01-01 06:35:00,2024-01-01 10:39:00,35,244,2,93.8,1,2024-01-01
10008,phd_park,PhD,nlp_finetuning,gpu-a100,2024-01-01 01:00:00,2024-01-01 02:38:00,2024-01-01 06:35:00,98,237,4,53.0,0,2024-01-01
10009,prof_kim,PI,llm_training,gpu-a100,2024-01-01 13:00:00,2024-01-01 16:40:00,2024-01-01 20:31:00,220,231,2,96.3,0,2024-01-01
10010,phd_park,PhD,cv_training,gpu-a100,2024-01-01 01:00:00,2024-01-01 02:43:00,2024-01-01 05:12:00,103,149,2,89.5,0,2024-01-01
10011,visitor_chen,Visitor,cv_training,gpu-a100,2024-01-01 02:00:00,2024-01-01 04:31:00,2024-01-01 09:23:00,151,292,2,80.5,0,2024-01-01
10012,phd_choi,PhD,nlp_finetuning,gpu-rtx,2024-01-01 01:00:00,2024-01-01 02:22:00,2024-01-01 07:49:00,82,327,1,47.1,0,2024-01-01
10013,prof_kim,PI,inference_test,gpu-a100,2024-01-01 01:00:00,2024-01-01 02:57:00,2024-01-01 07:07:00,117,250,2,16.8,0,2024-01-01
