timestamp,index,name,utilization.gpu [%],utilization.memory [%],memory.used [MiB],memory.free [MiB],memory.total [MiB],power.draw [W],temperature.gpu
2024/01/01 00:00:00.000,0,NVIDIA A100-SXM4-40GB,11.7 %,9.4 %,2770 MiB,37766 MiB,40536 MiB,99.94 W,41
2024/01/01 00:00:00.000,1,NVIDIA A100-SXM4-40GB,3.5 %,2.8 %,1685 MiB,38851 MiB,40536 MiB,72.00 W,37
2024/01/01 00:00:00.000,2,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,2911 MiB,37625 MiB,40536 MiB,50.10 W,36
2024/01/01 00:00:00.000,3,NVIDIA V100-SXM2-32GB,4.4 %,3.6 %,2766 MiB,37770 MiB,40536 MiB,56.32 W,37
2024/01/01 01:00:00.000,0,NVIDIA A100-SXM4-40GB,2.0 %,1.6 %,0 MiB,40536 MiB,40536 MiB,66.80 W,36
2024/01/01 01:00:00.000,1,NVIDIA A100-SXM4-40GB,9.0 %,7.2 %,2561 MiB,37975 MiB,40536 MiB,90.65 W,40
2024/01/01 01:00:00.000,2,NVIDIA V100-SXM2-32GB,4.4 %,3.5 %,1636 MiB,38900 MiB,40536 MiB,56.17 W,37
2024/01/01 01:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,494 MiB,40042 MiB,40536 MiB,50.10 W,36
2024/01/01 02:00:00.000,0,NVIDIA A100-SXM4-40GB,2.4 %,1.9 %,601 MiB,39935 MiB,40536 MiB,68.22 W,36
2024/01/01 02:00:00.000,1,NVIDIA A100-SXM4-40GB,7.5 %,6.0 %,3183 MiB,37353 MiB,40536 MiB,85.40 W,39
2024/01/01 02:00:00.000,2,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,0 MiB,40536 MiB,40536 MiB,50.10 W,36
2024/01/01 02:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,675 MiB,39861 MiB,40536 MiB,50.10 W,36
2024/01/01 03:00:00.000,0,NVIDIA A100-SXM4-40GB,8.7 %,7.0 %,4235 MiB,36301 MiB,40536 MiB,89.70 W,39
2024/01/01 03:00:00.000,1,NVIDIA A100-SXM4-40GB,5.4 %,4.3 %,2980 MiB,37556 MiB,40536 MiB,78.41 W,38
2024/01/01 03:00:00.000,2,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,0 MiB,40536 MiB,40536 MiB,50.10 W,36
2024/01/01 03:00:00.000,3,NVIDIA V100-SXM2-32GB,11.4 %,9.1 %,5667 MiB,34869 MiB,40536 MiB,73.98 W,41
2024/01/01 04:00:00.000,0,NVIDIA A100-SXM4-40GB,7.7 %,6.2 %,2080 MiB,38456 MiB,40536 MiB,86.23 W,39
2024/01/01 04:00:00.000,1,NVIDIA A100-SXM4-40GB,9.6 %,7.7 %,2035 MiB,38501 MiB,40536 MiB,92.67 W,40
2024/01/01 04:00:00.000,2,NVIDIA V100-SXM2-32GB,6.2 %,5.0 %,3926 MiB,36610 MiB,40536 MiB,60.82 W,38
2024/01/01 04:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,455 MiB,40081 MiB,40536 MiB,50.10 W,36
2024/01/01 05:00:00.000,0,NVIDIA A100-SXM4-40GB,5.8 %,4.7 %,1947 MiB,38589 MiB,40536 MiB,79.86 W,38
2024/01/01 05:00:00.000,1,NVIDIA A100-SXM4-40GB,2.0 %,1.6 %,1229 MiB,39307 MiB,40536 MiB,66.80 W,36
2024/01/01 05:00:00.000,2,NVIDIA V100-SXM2-32GB,4.6 %,3.7 %,3382 MiB,37154 MiB,40536 MiB,56.64 W,37
2024/01/01 05:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,2725 MiB,37811 MiB,40536 MiB,50.10 W,36
2024/01/01 06:00:00.000,0,NVIDIA A100-SXM4-40GB,2.0 %,1.6 %,3307 MiB,37229 MiB,40536 MiB,66.80 W,36
2024/01/01 06:00:00.000,1,NVIDIA A100-SXM4-40GB,2.0 %,1.6 %,1701 MiB,38835 MiB,40536 MiB,66.80 W,36
2024/01/01 06:00:00.000,2,NVIDIA V100-SXM2-32GB,11.7 %,9.3 %,3852 MiB,36684 MiB,40536 MiB,74.77 W,41
2024/01/01 06:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,1241 MiB,39295 MiB,40536 MiB,50.10 W,36
2024/01/01 07:00:00.000,0,NVIDIA A100-SXM4-40GB,10.5 %,8.4 %,3748 MiB,36788 MiB,40536 MiB,95.55 W,40
2024/01/01 07:00:00.000,1,NVIDIA A100-SXM4-40GB,6.4 %,5.1 %,1625 MiB,38911 MiB,40536 MiB,81.82 W,38
2024/01/01 07:00:00.000,2,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,1831 MiB,38705 MiB,40536 MiB,50.10 W,36
2024/01/01 07:00:00.000,3,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,0 MiB,40536 MiB,40536 MiB,50.10 W,36
2024/01/01 08:00:00.000,0,NVIDIA A100-SXM4-40GB,5.0 %,4.0 %,2505 MiB,38031 MiB,40536 MiB,76.87 W,37
2024/01/01 08:00:00.000,1,NVIDIA A100-SXM4-40GB,12.6 %,10.1 %,4365 MiB,36171 MiB,40536 MiB,102.89 W,41
2024/01/01 08:00:00.000,2,NVIDIA V100-SXM2-32GB,2.0 %,1.6 %,242 MiB,40294 MiB,40536 MiB,50.10 W,36
2024/01/01 08:00:00.000,3,NVIDIA V100-SXM2-32GB,5.8 %,4.6 %,3959 MiB,36577 MiB,40536 MiB,59.80 W,38
2024/01/01 09:00:00.000,0,NVIDIA A100-SXM4-40GB,77.7 %,62.2 %,31264 MiB,9272 MiB,40536 MiB,324.30 W,74
2024/01/01 09:00:00.000,1,NVIDIA A100-SXM4-40GB,73.1 %,58.4 %,28855 MiB,11681 MiB,40536 MiB,308.41 W,72
